id,name,region,municipality,site_type,latitude,longitude,coord_confidence,depth_min_m,depth_max_m,description,sources
cdc_cap_creus,Cap de Creus,cap_de_creus,Cadaqués,headland,42.3197,3.3185,verified,,,"Easternmost point of Iberian Peninsula; reference headland with multiple dive sites on its flanks","Wikipedia; capdecreusdive.com"
cdc_farallons_culip,Farallons de Culip,cap_de_creus,Cadaqués,pinnacle,42.32521991460276, 3.3114696792478564,verified,,,"Offshore pinnacles north of Cap de Creus; deep wall dive","capdecreusdive.com"
cdc_encalladora,L'Encalladora,cap_de_creus,El Port de la Selva,pinnacle,42.321785115798924, 3.324826084173485,verified,,,"Rocky point NE of Cap de Creus with walls and gorgonians","capdecreusdive.com"
cdc_massa_dor,Massa d'Or,cap_de_creus,Cadaqués,pinnacle,42.32014985115728, 3.3311238595068025,verified,,,"Submerged mount east of Cap de Creus; deep dive","capdecreusdive.com"
cdc_cala_joncols,Cala Jòncols,cap_de_creus,Roses,cove,42.252147303747456, 3.255617364718469,verified,0,30,"Sheltered cove home to Euro-Divers; shore and boat dives; Cova del Pebre is notable","calajoncols.com; Euro-Divers"
cdc_cala_montjoi,Cala Montjoi,cap_de_creus,Roses,cove,42.24968985180118, 3.2293077969521655,verified,0,30,"Sheltered cove south of Jòncols; Montjoi Diving Center operates here","submarinismocostabrava.com"
cdc_la_meda,La Meda,cap_de_creus,Cadaqués,island,42.35002466513393, 3.2152734193973376,verified,,,"Islet off S'Arnella; gorgonian walls","capdecreusdive.com"
cdc_far_arnella,Far de S'Arnella,cap_de_creus,Cadaqués,headland,42.34886998853921, 3.187305598492899,verified,,,"Lighthouse point NE of Cadaqués","capdecreusdive.com"
cdc_cap_gros,Cap Gros,cap_de_creus,Cadaqués,headland,42.34795362636753, 3.239852931347397,verified,,,"Headland north of Cadaqués; wall dive","capdecreusdive.com"
cdc_cap_norfeu,Cap Norfeu,cap_de_creus,Roses,headland,42.23918594082377, 3.266800943214868,verified,,,"Dramatic headland between Roses and Cala Jòncols with multiple dive sites on its flanks","Wikipedia"
cdc_portalo,El Portaló,cap_de_creus,El Port de la Selva,pinnacle,42.33291316919223, 3.284345410676864,verified,,,"Rocky dive site in Port de la Selva area","capdecreusdive.com"
med_meda_gran,Meda Gran,illes_medes,Torroella de Montgrí,island,42.047338,3.221809,verified,,,"Main island of the Medes archipelago; core of the marine reserve","Google Maps (corrected); Wikipedia"
med_meda_petita,Meda Petita,illes_medes,Torroella de Montgrí,island,42.043659480832055, 3.225544768413294,verified,,,"Smaller southern island of the Medes archipelago","Wikipedia; costabravadivers.com"
med_carall_bernat,Carall Bernat,illes_medes,Torroella de Montgrí,island,42.04149367257542, 3.2290956512741174,verified,5,42,"Southernmost islet of the archipelago; drop-offs with rich gorgonians; exposed to currents","costabravadivers.com; divessi.com"
med_tasco_gros,Tascó Gros,illes_medes,Torroella de Montgrí,island,42.042355374633644, 3.227296747093622,verified,,,"Twin islet of Carall Bernat; vertical walls with red and white gorgonians","elreidelmar.com"
med_tasco_petit,Tascó Petit,illes_medes,Torroella de Montgrí,island,42.041149631734, 3.2266359062495207,verified,,,"Small islet between Ferranelles and Carall Bernat; variable currents","elreidelmar.com"
med_ferranelles,Ferranelles,illes_medes,Torroella de Montgrí,island,42.042088088993694, 3.225646803958627,verified,10,35,"Small islet south of Meda Petita; three reef system with gorgonians and groupers","costabravadivers.com"
med_dofi_sud,Cova del Dofí (Sud),illes_medes,Torroella de Montgrí,cave,42.04391497004631, 3.2263944226442036,verified,5,27,"Famous tunnel through Meda Petita with bronze dolphin statue at 12 m entrance","costabravadivers.com; calypsodivingestartit.com"
med_dofi_nord,Cova del Dofí (Nord),illes_medes,Torroella de Montgrí,cave,42.0444361060333, 3.225707850498928,verified,5,20,"North entrance of the Dolphin tunnel through Meda Petita","costabravadivers.com"
med_la_vaca,La Vaca,illes_medes,Torroella de Montgrí,cave,42.04749123086723, 3.225705201185544,verified,12,30,"30 m north-south tunnel through Meda Gran; 12 m entrance on south side","calypsodivingestartit.com"
med_pota_llop,Pota del Llop,illes_medes,Torroella de Montgrí,wall,42.04936091022431, 3.2252251473639157,verified,,50,"Deep wall on east coast of Meda Gran covered in gorgonians","calypsodivingestartit.com"
med_la_reina,La Reina,illes_medes,Torroella de Montgrí,wall,42.04676581424242, 3.225163897709144,verified,8,24,"East side of Meda Gran; small cave on top of island","costabravadivers.com"
med_salpatxot,Salpatxot,illes_medes,Torroella de Montgrí,wall,42.04949959944197, 3.220712320773186,verified,0,24,"Slope dive at north of Medes; beginner-friendly; possible moonfish in June","calypsodivingestartit.com"
med_medallot,Medallot,illes_medes,Torroella de Montgrí,island,42.05167857067183, 3.2217395260174677,verified,,,"Northernmost islet of the Medes group","submarinismocostabrava.com"
med_pedra_deu,Pedra de Déu,illes_medes,Torroella de Montgrí,pinnacle,42.05010672277814, 3.224617877657352,verified,,,"Submerged rock within the Medes reserve","submarinismocostabrava.com"
med_embarcador,Embarcador del Francès,illes_medes,Torroella de Montgrí,wall,42.04916976709205, 3.2225458881674753,verified,18,25,"North coast of Meda Gran; coral, white gorgons, nudibranchs","calypsodivingestartit.com"
mon_reggio,Reggio Messina,montgri,Torroella de Montgrí,wreck,42.08070978602822, 3.2018192683469886,verified,,,"122 m cargo wreck on the Montgrí coast; barracuda schools","unexpectedcatalonia.com"
mon_illa_pedrosa,Illa Pedrosa,montgri,L'Escala,island,42.073852228005485, 3.2053668127344923,verified,,,"Island with 60 m underwater tunnel","unexpectedcatalonia.com"
mon_illa_ferriola,Illa Ferriola,montgri,L'Escala,island,42.08490517117385, 3.197497792456084,verified,,,"Island with 25 m underwater tunnel","unexpectedcatalonia.com"
mon_negre_falaguer,Negre del Falaguer,montgri,Torroella de Montgrí,wall,42.066452932418656, 3.210970556251495,verified,,,"Cliff dive on the Montgrí coast","costabravadivers.com"
mon_punta_salines,Punta Salines,montgri,Torroella de Montgrí,headland,42.06159263641331, 3.2121183079718953,verified,,,"Montgrí coast headland","costabravadivers.com"

pal_formigues,Illes Formigues,illes_formigues,Palamós / Palafrugell,island,41.862507006195266, 3.186530373740175,verified,9,45,"Archipelago of 16 islets with canyons, coral, and a 1st c. BC shipwreck","Wikipedia (lighthouse coordinates)"

pal_ullastres_i,Ullastres I,baix_emporda,Palafrugell,pinnacle,41.8849654,3.2007808,verified,10,30,"Inner of three submerged pinnacles off Llafranc","tripxl.com; unexpectedcatalonia.com"
pal_ullastres_ii,Ullastres II,baix_emporda,Palafrugell,pinnacle,41.8845639,3.2035998,verified,8,35,"Middle pinnacle with caves and narrow passages","unexpectedcatalonia.com"
pal_ullastres_iii,Ullastres III,baix_emporda,Palafrugell,pinnacle,41.8831326,3.2001771,verified,9,55,"Outermost and deepest pinnacle; red and green gorgonians","unexpectedcatalonia.com"

pal_furio_fito,Furió Fitó,baix_emporda,Begur,pinnacle,41.9575934,3.2345872,verified,,,"Submerged seamount between Llafranc and Aiguablava; advanced dive","submarinismocostabrava.com"
pal_canons_tamariu,Canons de Tamariu,baix_emporda,Palafrugell,wall,41.922806,3.220211,verified,,,"Underwater canyons off Tamariu","submarinismocostabrava.com"
pal_aigua_xelida,Aigua Xelida,baix_emporda,Palafrugell,cove,41.919968,3.221917,verified,,,"Cove near Tamariu with caves and tunnels","tripxl.com"
pal_boreas,Boreas (Pellworm),palamos,Palamós,wreck,41.8313164,3.1183778,verified,20,35,"40 m former German tugboat sunk 1989; one of the most visited wrecks on the Costa Brava","Wikipedia; divers-guide.com"
pal_llosa,Llosa de Palamós,palamos,Palamós,pinnacle,41.835916,3.121155,verified,,,"Rocky seamount close to the Boreas wreck; all levels","divessi.com"

sel_roca_muladera,Roca Muladera (Roca del Moro),la_selva,Lloret de Mar,pinnacle,41.70719001959172, 2.9142399971687265,verified,0,25,"Two seamounts with a channel between; famous for light and biodiversity","unexpectedcatalonia.com; uwk.com"
sel_mar_menuda,Tossa de Mar (Mar Menuda),la_selva,Tossa de Mar,cove,41.72166180693848, 2.9400824872737426,verified,0,20,"Shore dive from NE cove; beginner-friendly; seahorses, octopus, moray eels","dreamdive.es; submarinismocostabrava.com"

sel_sa_palomera,Sa Palomera (Blanes),la_selva,Blanes,pinnacle,41.6720,2.7930,verified,,,"Rock off Blanes beach; home of Blanes Sub, oldest dive centre in Costa Brava","traveltriangle.com"
sel_la_nacra,La Nacra (Blanes),la_selva,Blanes,pinnacle,41.6745, 2.8082,verified,,,"La Nacra is an underwater mountain located in front of the Blanes Botanical Garden, just 5 minutes sailing from the port. With depths of 12 to 22 meters, it is an ideal dive for all types of divers.","scubaspotadvisor.com"


